平台类型	失败描述	失败数量20200603
全国商业	errorCode:93157,校验车辆种类代码从“11”至“28”，VIN码必须满足17位	69
全国商业	errorCode:9813,车辆损失情况列表中车辆属性为“主车”时,出险车辆VIN码”与投保确认的“车架号/VIN码”不一致	40
全国商业	errorCode:95226,出险时间在反欺诈涉及商业险调整启用之后的案件，当“伤亡人员医疗类型”为住院时，医疗机构列表必传。	33
全国商业	出险日期不在保单有效期内。	29
全国商业	errorCode:93156,身份证号码不符合校验规则，请提交电子联系单进行特批处理!	27
全国商业	errorCode:93157,VIN码不符合校验规则	22
全国商业	errorCode:93123,身份证号码必须由15位或18位的数字或字母组成，并且不能出现15位以上的连续字符！	19
全国商业	errorCode:9201,“车辆属性”为“三者车”时，“机动车行驶证发证日期”不能为空！	18
全国商业	errorCode:95237,未匹配到交管车辆信息，建议通过交管车辆信息查询功能核实车辆信息!	13
全国商业	errorCode:9562,有代位标志,单证明细中必须有“代位求偿案件索赔申请书”和三证之一。	9
全国商业	errorCode:93157,VIN码不符合校验规则，请提交电子联系单进行特批处理！	6
全国商业	errorCode:95205,三者车VIN码不能与标的车VIN码一致。	6
全国商业	errorCode:9201,出险车辆车辆型号不允许为空。	5
全国商业	errorCode:95160,车辆损失核损完成时间不能早于车辆损失定损开始时间。	5
全国商业	errorCode:95167,结案前上传单证收集信息，单证明细不能为空。	5
全国商业	errorCode:9201,入院时间不允许为空。	5
全国商业	投保确认码不允许为空。	4
全国商业	errorCode:9201,保险事故分类不允许为空。	4
全国商业	errorCode:9201,损失金额不允许为空。	4
全国商业	保单号必须与投保确认码对应的保单一致！	3
全国商业	errorCode:9567,案件理算信息中的追偿清付信息(追偿清付标志、结算码、追偿清付类型)与平台保存的锁定关系中不完全一致，请重新传送理算核赔信息。	3
全国商业	errorCode:9201,现场类别不允许为空。	3
全国商业	errorCode:9569,理赔编码对应的案件尚未结案，不允许进行重开赔案。	3
全国商业	errorCode:9201,配件价格不符合货币精度	2
全国商业	出险原因代码不允许为空。	2
全国商业	errorCode:95182,追偿清付信息中的结算码在平台不存在，请检查上传信息。	2
全国商业	errorCode:9848,非报案、立案状态不能注销!	2
全国商业	保单号：1180862000500000434，dutyId:201909241111388943940811，上传平台失败:null	1
全国商业	出险经过不允许为空。	1
全国商业	errorCode:9201,车辆属性为“本车”时，出险车辆驾驶员姓名、出险车辆驾驶证号码不能为空。	1
全国商业	保单号：1161511000500004673，dutyId:201908071801186835103803，上传平台失败:null	1
全国商业	保单号：1200318050500000130，dutyId:202005201704065897233429，上传平台失败:null	1
全国商业	保单号：1200318050500000130，dutyId:202005250942246748874829，上传平台失败:null	1
全国商业	errorCode:9201,定损人员身份证号码不允许为空。	1
全国商业	errorCode:9201,人伤跟踪人员身份证号码不允许为空。	1
全国商业	errorCode:9832,车辆查勘情况列表中“出险车辆驾驶证号码”不能与车、财、人查勘情况列表中“查勘人员身份证号码”一致	1
全国商业	保单号：1180862000500000520，dutyId:201907261233057539895002，上传平台失败:null	1
全国商业	errorCode:9201,直接理赔费用总金额不能小于0。	1
全国商业	保单号：1180507000500000832，dutyId:201909031104142355404173，上传平台失败:null	1
全国商业	errorCode:9512,该理赔编码对应的报案信息不存在或无效。	1
全国商业	errorCode:9201,医疗审核完成时间；精确到分钟不允许为空。	1
全国商业	保单号：1180520000500000183，dutyId:201907261554587009988026，上传平台失败:null	1
北京商业	人员损失(1)当伤亡人员医疗类型为住院时，治疗机构名称、治疗机构组织机构代码必传	5
北京商业	车辆损失(1)修理机构代码填写错误	4
北京商业	人员伤亡列表中第1条,医疗治疗机构第1条,当“伤亡人员医疗类型”为“2-住院”时，“医疗治疗机构”列表的治疗机构组织机构代码必传	1
北京商业	事故地点代码必填	1
上海商业	投保确认码所对应保单的号牌号码和号牌种类与输入的号牌号码和号牌种类不符，请核实。	6
上海商业	出险时间不在保单的起期和止期内。	4
